Transaction_Date,Drug_Name,Category,Quantity_Sold,Stock_On_Hand,Expiry_Date,Unit_Cost,Supplier
2024-04-23,Susp Hydralazine 5ml/125mg,Anti-Hypertensive,14,134,2027-01-23,835,Emzor
2023-06-28,Inf Glibenclamide 5ml/250mg,Anti-Diabetic,28,157,2027-10-27,251,MegaCare
2025-09-30,Syrup Pentazocine 5ml/250mg,Analgesics,15,127,2028-02-29,827,MegaCare
2025-07-02,Cap Paracetamol 1g,Analgesics,32,151,2028-06-09,929,Emzor
2025-08-21,Cap Oxytocin 500mg,Specialty/Emergency,45,149,2026-12-19,218,MegaCare
2025-11-28,Inj Normal Saline 500mg,IV Fluids,9,112,2028-02-17,792,Swiss Pharma
2024-08-16,Ear Drops Esomeprazole 5mg,Anti-Ulcer,49,140,2027-07-26,524,GSK
2023-07-11,HIV Kit (10ml),Lab/Reagents,3,148,2028-08-19,269,MegaCare
2023-01-27,Inf Amoxicillin 500mg,Antibiotics,44,172,2027-04-19,646,MegaCare
2025-04-07,Gutt Chloramphenicol 1g,Drops/Topicals,34,155,2027-09-26,605,Juhel
2024-01-15,Inj Magnesium Trisilicate 20mg,Anti-Ulcer,3,118,2027-10-17,922,Swiss Pharma
2023-06-26,Susp Artemether/Lumefantrine 10mg,Anti-Malaria,36,161,2028-09-12,555,GSK
2023-07-01,Inj Magnesium Trisilicate 5ml/125mg,Anti-Ulcer,20,32,2027-05-10,564,Emzor
2025-12-03,Tab Silver Sulphadiazine 20mg,Drops/Topicals,10,155,2028-01-24,183,GSK
2023-09-30,Inf Artesunate 5ml/125mg,Anti-Malaria,3,160,2027-07-16,794,Juhel
2025-10-08,Susp Insulin (Mixed) 1g,Anti-Diabetic,13,149,2028-10-13,508,Emzor
2026-01-09,Ear Drops Artesunate 50mg,Anti-Malaria,12,105,2028-08-15,873,Emzor
2023-01-06,Cap Insulin (Mixed) 5ml/125mg,Anti-Diabetic,19,139,2027-05-24,420,Swiss Pharma
2025-07-22,Inf Losartan 1%,Anti-Hypertensive,12,161,2027-06-03,197,Juhel
2025-02-12,Inj Paracetamol 1g,Analgesics,13,173,2028-08-22,696,Juhel
2024-09-23,Syrup Hydralazine 1%,Anti-Hypertensive,15,162,2027-05-03,884,Swiss Pharma
